Data da Venda,ID da Venda,ID do Cliente,Nome do Cliente,Produto,ID do Produto,Categoria,Preço Unitário,Quantidade,Valor Total,Meio de Pagamento,Vendedor,Região,Status da Venda
05/09/2024,0001,754,Antônio Freitas,Laptop ABC,2002,Eletrônicos,3500.0,1,3500.0,Pix,Enzo Gabriel Cunha,Nordeste,Concluída
13/10/2024,0002,242,Renan Viana,Laptop ABC,2002,Eletrônicos,3500.0,5,17500.0,Cartão,Nicolas Pereira,Sul,Cancelada
13/01/2024,0003,132,Bryan da Rosa,Smartphone XYZ,2001,Eletrônicos,1200.0,1,1200.0,Dinheiro,Luiz Fernando Araújo,Nordeste,Pendente
05/08/2024,0004,716,Theo Viana,Smartphone XYZ,2001,Eletrônicos,1200.0,5,6000.0,Dinheiro,Clarice Porto,Sul,Cancelada
16/08/2024,0005,325,Alexandre da Cruz,Impressora Laser,2008,Eletrônicos,2000.0,5,10000.0,Pix,Sra. Heloísa Freitas,Norte,Concluída
01/03/2024,0006,814,Vitor Hugo Mendes,Monitor HD,2007,Eletrônicos,1000.0,3,3000.0,Pix,Bryan Nascimento,Nordeste,Concluída
07/02/2024,0007,881,Dr. Otávio Ferreira,Fone Bluetooth,2006,Acessórios,250.0,1,250.0,Cartão,Thomas Ramos,Sudeste,Concluída
27/07/2024,0008,467,João Miguel Cardoso,Fone Bluetooth,2006,Acessórios,250.0,5,1250.0,Pix,Evelyn Moreira,Norte,Pendente
12/08/2024,0009,570,Thales Campos,Laptop ABC,2002,Eletrônicos,3500.0,4,14000.0,Cartão,Rafael Dias,Sul,Cancelada
27/10/2024,0010,949,Bruno Dias,Fone Bluetooth,2006,Acessórios,250.0,5,1250.0,Dinheiro,João Miguel Freitas,Norte,Concluída
25/06/2024,0011,777,Isabelly da Cruz,Smartwatch DEF,2004,Eletrônicos,800.0,3,2400.0,Cartão,Dr. Emanuel Fogaça,Nordeste,Concluída
29/09/2024,0012,489,Melissa Cardoso,Teclado RGB,2005,Acessórios,300.0,4,1200.0,Pix,Maysa da Cunha,Nordeste,Cancelada
26/07/2024,0013,463,Srta. Bruna Rezende,Smartwatch DEF,2004,Eletrônicos,800.0,3,2400.0,Cartão,Emanuelly das Neves,Sul,Pendente
22/09/2024,0014,275,Sr. Enzo Azevedo,Smartwatch DEF,2004,Eletrônicos,800.0,2,1600.0,Transferência,Dr. Gabriel Campos,Sudeste,Cancelada
22/03/2024,0015,755,Raquel Lopes,Smartwatch DEF,2004,Eletrônicos,800.0,3,2400.0,Cartão,Pietro Sales,Nordeste,Concluída
02/06/2024,0016,924,Laís da Conceição,Fone Bluetooth,2006,Acessórios,250.0,4,1000.0,Pix,Daniel Farias,Norte,Concluída
16/10/2024,0017,680,Maria Alice Ferreira,Fone Bluetooth,2006,Acessórios,250.0,2,500.0,Transferência,Dra. Lara Nunes,Sudeste,Pendente
20/05/2024,0018,569,Daniel Silva,Mouse Wireless,2003,Acessórios,150.0,3,450.0,Dinheiro,Ana Laura Barros,Nordeste,Pendente
12/02/2024,0019,674,Pedro Lucas da Cruz,Teclado RGB,2005,Acessórios,300.0,5,1500.0,Transferência,Lara Campos,Sul,Cancelada
29/05/2024,0020,470,Maria Vitória Rezende,Smartwatch DEF,2004,Eletrônicos,800.0,2,1600.0,Transferência,Eloah Vieira,Norte,Concluída
05/01/2024,0021,981,Rebeca Correia,Laptop ABC,2002,Eletrônicos,3500.0,2,7000.0,Dinheiro,Maria Alice Fogaça,Sudeste,Pendente
25/10/2024,0022,165,Heloísa Correia,Monitor HD,2007,Eletrônicos,1000.0,4,4000.0,Transferência,Leandro da Cruz,Sul,Cancelada
25/06/2024,0023,666,Thiago Ferreira,Smartphone XYZ,2001,Eletrônicos,1200.0,1,1200.0,Pix,Sophie da Luz,Centro-Oeste,Concluída
16/07/2024,0024,400,Pedro Lucas Jesus,Monitor HD,2007,Eletrônicos,1000.0,2,2000.0,Transferência,Lívia da Paz,Norte,Pendente
29/02/2024,0025,996,Sr. Marcelo Souza,Teclado RGB,2005,Acessórios,300.0,5,1500.0,Dinheiro,Noah Martins,Sul,Concluída
08/07/2024,0026,991,Carlos Eduardo Moreira,Teclado RGB,2005,Acessórios,300.0,5,1500.0,Dinheiro,Erick Caldeira,Nordeste,Cancelada
03/04/2024,0027,880,Ana Júlia Cardoso,Mouse Wireless,2003,Acessórios,150.0,5,750.0,Cartão,Sra. Ana Clara Teixeira,Sul,Cancelada
24/10/2024,0028,600,Cauê Ribeiro,Smartphone XYZ,2001,Eletrônicos,1200.0,1,1200.0,Pix,Bárbara Ferreira,Centro-Oeste,Concluída
23/07/2024,0029,159,Lara da Rosa,Smartwatch DEF,2004,Eletrônicos,800.0,5,4000.0,Cartão,Sophia da Paz,Norte,Pendente
03/10/2024,0030,597,João Moura,Laptop ABC,2002,Eletrônicos,3500.0,5,17500.0,Dinheiro,Manuela Porto,Nordeste,Pendente
16/02/2024,0031,586,Enzo Gabriel Campos,Mouse Wireless,2003,Acessórios,150.0,3,450.0,Transferência,Sr. Nicolas Vieira,Nordeste,Pendente
30/03/2024,0032,873,Clarice Almeida,Smartwatch DEF,2004,Eletrônicos,800.0,3,2400.0,Transferência,Thales Caldeira,Centro-Oeste,Cancelada
29/03/2024,0033,629,Arthur Melo,Impressora Laser,2008,Eletrônicos,2000.0,1,2000.0,Dinheiro,Luiz Gustavo Duarte,Nordeste,Concluída
18/04/2024,0034,446,Luiza da Rosa,Smartphone XYZ,2001,Eletrônicos,1200.0,5,6000.0,Dinheiro,Ana Ribeiro,Sul,Concluída
04/04/2024,0035,107,Júlia da Mota,Laptop ABC,2002,Eletrônicos,3500.0,1,3500.0,Dinheiro,Caio Pinto,Norte,Concluída
17/05/2024,0036,980,Júlia Rezende,Fone Bluetooth,2006,Acessórios,250.0,1,250.0,Dinheiro,Srta. Nicole Castro,Centro-Oeste,Pendente
24/01/2024,0037,597,Sabrina Mendes,Smartwatch DEF,2004,Eletrônicos,800.0,5,4000.0,Dinheiro,Felipe da Mota,Sul,Pendente
14/03/2024,0038,584,Lavínia Cunha,Smartwatch DEF,2004,Eletrônicos,800.0,4,3200.0,Transferência,Carolina Freitas,Nordeste,Concluída
28/06/2024,0039,199,Breno Pires,Monitor HD,2007,Eletrônicos,1000.0,3,3000.0,Transferência,Ana Luiza Barros,Sudeste,Cancelada
10/09/2024,0040,984,Alana Carvalho,Smartphone XYZ,2001,Eletrônicos,1200.0,1,1200.0,Cartão,Davi Luiz Oliveira,Sudeste,Pendente
07/07/2024,0041,447,Clara Nunes,Laptop ABC,2002,Eletrônicos,3500.0,2,7000.0,Dinheiro,Davi Luiz Nascimento,Nordeste,Pendente
01/01/2024,0042,559,Emanuella Ramos,Mouse Wireless,2003,Acessórios,150.0,4,600.0,Dinheiro,Kevin Rodrigues,Centro-Oeste,Cancelada
01/03/2024,0043,355,Gustavo da Rosa,Laptop ABC,2002,Eletrônicos,3500.0,4,14000.0,Cartão,Nathan Viana,Norte,Pendente
24/01/2024,0044,653,Sra. Ana Carolina Barros,Smartphone XYZ,2001,Eletrônicos,1200.0,1,1200.0,Dinheiro,Luana Santos,Nordeste,Cancelada
25/07/2024,0045,597,Benício Silva,Impressora Laser,2008,Eletrônicos,2000.0,2,4000.0,Transferência,Diego Campos,Norte,Concluída
19/08/2024,0046,488,Renan Duarte,Smartphone XYZ,2001,Eletrônicos,1200.0,4,4800.0,Pix,Ana Vitória Farias,Sudeste,Cancelada
12/08/2024,0047,533,Amanda Cardoso,Impressora Laser,2008,Eletrônicos,2000.0,2,4000.0,Dinheiro,Mirella Silveira,Centro-Oeste,Concluída
02/05/2024,0048,159,Emanuel Lopes,Smartphone XYZ,2001,Eletrônicos,1200.0,3,3600.0,Cartão,Francisco Novaes,Norte,Pendente
20/02/2024,0049,588,Melissa Jesus,Mouse Wireless,2003,Acessórios,150.0,1,150.0,Cartão,Gabrielly Cardoso,Nordeste,Concluída
04/01/2024,0050,709,Mariane Castro,Laptop ABC,2002,Eletrônicos,3500.0,2,7000.0,Transferência,Luiz Otávio da Rosa,Norte,Pendente
15/07/2024,0051,352,Cauê Monteiro,Smartphone XYZ,2001,Eletrônicos,1200.0,5,6000.0,Cartão,Felipe Moura,Sudeste,Pendente
20/04/2024,0052,697,Leonardo Viana,Fone Bluetooth,2006,Acessórios,250.0,3,750.0,Dinheiro,Sra. Mariana Souza,Centro-Oeste,Concluída
04/01/2024,0053,371,Maria Clara Jesus,Monitor HD,2007,Eletrônicos,1000.0,2,2000.0,Pix,Ana Lívia Cunha,Sudeste,Cancelada
12/04/2024,0054,869,Calebe Vieira,Laptop ABC,2002,Eletrônicos,3500.0,1,3500.0,Transferência,Gabriel Gomes,Sul,Pendente
22/08/2024,0055,202,Theo Mendes,Laptop ABC,2002,Eletrônicos,3500.0,5,17500.0,Dinheiro,Rodrigo Ferreira,Sul,Cancelada
15/07/2024,0056,235,Eloah Barros,Fone Bluetooth,2006,Acessórios,250.0,1,250.0,Dinheiro,Pedro Miguel Pereira,Centro-Oeste,Cancelada
18/11/2024,0057,261,Augusto Almeida,Impressora Laser,2008,Eletrônicos,2000.0,5,10000.0,Pix,Sr. Pedro Miguel Ferreira,Sul,Pendente
03/03/2024,0058,641,Sra. Maria Clara Pereira,Smartphone XYZ,2001,Eletrônicos,1200.0,5,6000.0,Pix,Alana Correia,Norte,Concluída
30/01/2024,0059,370,Srta. Maria Cecília Azevedo,Laptop ABC,2002,Eletrônicos,3500.0,1,3500.0,Dinheiro,Sr. Leandro Costela,Centro-Oeste,Cancelada
17/01/2024,0060,719,João Guilherme Barbosa,Smartwatch DEF,2004,Eletrônicos,800.0,3,2400.0,Dinheiro,Sr. Rodrigo Farias,Centro-Oeste,Pendente
16/09/2024,0061,600,João Gabriel Oliveira,Teclado RGB,2005,Acessórios,300.0,1,300.0,Cartão,Sofia da Costa,Sudeste,Cancelada
01/04/2024,0062,145,Davi Oliveira,Smartphone XYZ,2001,Eletrônicos,1200.0,3,3600.0,Dinheiro,Davi Melo,Centro-Oeste,Concluída
30/10/2024,0063,859,Yasmin Farias,Impressora Laser,2008,Eletrônicos,2000.0,5,10000.0,Transferência,Davi Lucca Cavalcanti,Sul,Concluída
28/05/2024,0064,214,Lucas das Neves,Laptop ABC,2002,Eletrônicos,3500.0,2,7000.0,Cartão,Lorenzo Monteiro,Centro-Oeste,Pendente
28/04/2024,0065,665,Enzo Gabriel Araújo,Mouse Wireless,2003,Acessórios,150.0,4,600.0,Dinheiro,Caroline Nunes,Norte,Cancelada
07/05/2024,0066,473,Bernardo Freitas,Smartphone XYZ,2001,Eletrônicos,1200.0,3,3600.0,Dinheiro,Dr. Renan Teixeira,Nordeste,Pendente
08/05/2024,0067,205,Carlos Eduardo Ferreira,Fone Bluetooth,2006,Acessórios,250.0,5,1250.0,Transferência,Nathan Ferreira,Sul,Pendente
15/01/2024,0068,258,Noah Pinto,Smartwatch DEF,2004,Eletrônicos,800.0,2,1600.0,Dinheiro,Dr. Leandro Silva,Sudeste,Concluída
14/02/2024,0069,283,Maria Julia da Mota,Fone Bluetooth,2006,Acessórios,250.0,4,1000.0,Dinheiro,Augusto Pinto,Centro-Oeste,Concluída
01/01/2024,0070,906,Maria Alice da Paz,Laptop ABC,2002,Eletrônicos,3500.0,4,14000.0,Cartão,Dr. Bernardo Melo,Sudeste,Concluída
30/08/2024,0071,304,Sr. Thiago Jesus,Impressora Laser,2008,Eletrônicos,2000.0,3,6000.0,Pix,Gabriela Oliveira,Nordeste,Concluída
06/05/2024,0072,124,Pietra Gonçalves,Smartwatch DEF,2004,Eletrônicos,800.0,4,3200.0,Pix,Ana da Mota,Centro-Oeste,Concluída
12/06/2024,0073,891,Isis da Luz,Teclado RGB,2005,Acessórios,300.0,3,900.0,Transferência,Maria Fernanda Jesus,Sul,Cancelada
06/06/2024,0074,128,Agatha Jesus,Laptop ABC,2002,Eletrônicos,3500.0,3,10500.0,Dinheiro,Emanuel Pinto,Sul,Cancelada
01/11/2024,0075,139,Maria Martins,Laptop ABC,2002,Eletrônicos,3500.0,5,17500.0,Transferência,Laura Pires,Centro-Oeste,Pendente
19/09/2024,0076,905,Luiz Gustavo Ribeiro,Fone Bluetooth,2006,Acessórios,250.0,4,1000.0,Cartão,Srta. Mirella Cardoso,Sudeste,Pendente
20/04/2024,0077,294,Mirella Melo,Teclado RGB,2005,Acessórios,300.0,1,300.0,Transferência,Vitor Gabriel Duarte,Norte,Pendente
18/09/2024,0078,925,Enzo Gabriel da Paz,Smartwatch DEF,2004,Eletrônicos,800.0,3,2400.0,Transferência,Antônio Barbosa,Norte,Pendente
05/04/2024,0079,438,Mariana Cardoso,Fone Bluetooth,2006,Acessórios,250.0,1,250.0,Pix,Kamilly da Mota,Sul,Cancelada
05/10/2024,0080,782,Sra. Luna Nunes,Monitor HD,2007,Eletrônicos,1000.0,3,3000.0,Transferência,Danilo Almeida,Centro-Oeste,Pendente
18/10/2024,0081,230,Yago Pereira,Smartwatch DEF,2004,Eletrônicos,800.0,4,3200.0,Transferência,Davi Silveira,Nordeste,Pendente
29/06/2024,0082,682,Matheus Farias,Teclado RGB,2005,Acessórios,300.0,4,1200.0,Cartão,Lorenzo Cunha,Centro-Oeste,Cancelada
07/11/2024,0083,315,Natália Souza,Monitor HD,2007,Eletrônicos,1000.0,5,5000.0,Pix,Maria Vitória Lopes,Sudeste,Cancelada
20/10/2024,0084,552,Mariana Santos,Smartwatch DEF,2004,Eletrônicos,800.0,5,4000.0,Transferência,Maria Clara Porto,Nordeste,Pendente
02/03/2024,0085,186,Sra. Lavínia Ferreira,Teclado RGB,2005,Acessórios,300.0,5,1500.0,Pix,Pedro Miguel Freitas,Norte,Concluída
24/10/2024,0086,788,Luiza Duarte,Teclado RGB,2005,Acessórios,300.0,2,600.0,Dinheiro,Leonardo Cardoso,Nordeste,Concluída
04/10/2024,0087,147,Erick Fogaça,Smartwatch DEF,2004,Eletrônicos,800.0,4,3200.0,Cartão,Dr. Marcelo Cardoso,Sudeste,Cancelada
23/02/2024,0088,744,Enzo Nogueira,Smartwatch DEF,2004,Eletrônicos,800.0,4,3200.0,Transferência,Srta. Rafaela da Rosa,Sudeste,Concluída
25/01/2024,0089,251,Júlia Melo,Smartphone XYZ,2001,Eletrônicos,1200.0,1,1200.0,Transferência,Letícia Peixoto,Nordeste,Concluída
25/01/2024,0090,923,Kaique Nogueira,Impressora Laser,2008,Eletrônicos,2000.0,1,2000.0,Dinheiro,Pietra Aragão,Norte,Cancelada
24/10/2024,0091,236,Isis Rocha,Impressora Laser,2008,Eletrônicos,2000.0,5,10000.0,Pix,João Gabriel Jesus,Sudeste,Pendente
19/10/2024,0092,934,Kamilly Teixeira,Monitor HD,2007,Eletrônicos,1000.0,5,5000.0,Transferência,Dra. Maria Cecília das Neves,Nordeste,Pendente
08/07/2024,0093,982,Gabriel Pinto,Impressora Laser,2008,Eletrônicos,2000.0,4,8000.0,Pix,Alice Nogueira,Nordeste,Pendente
10/05/2024,0094,383,Nicole Nunes,Impressora Laser,2008,Eletrônicos,2000.0,2,4000.0,Pix,Srta. Letícia Costela,Sudeste,Concluída
29/08/2024,0095,830,Alice Novaes,Teclado RGB,2005,Acessórios,300.0,2,600.0,Pix,Maria Fernanda Araújo,Centro-Oeste,Cancelada
02/02/2024,0096,653,Lara Cunha,Laptop ABC,2002,Eletrônicos,3500.0,2,7000.0,Dinheiro,Carolina Barros,Nordeste,Cancelada
11/04/2024,0097,810,Giovanna da Rosa,Mouse Wireless,2003,Acessórios,150.0,2,300.0,Cartão,Giovanna Mendes,Sudeste,Cancelada
22/10/2024,0098,438,Emilly Peixoto,Impressora Laser,2008,Eletrônicos,2000.0,4,8000.0,Cartão,Bruno Ribeiro,Nordeste,Cancelada
08/01/2024,0099,498,Dra. Ana Beatriz Monteiro,Smartphone XYZ,2001,Eletrônicos,1200.0,5,6000.0,Transferência,Pietro Campos,Sudeste,Concluída
30/10/2024,0100,460,Amanda Araújo,Teclado RGB,2005,Acessórios,300.0,4,1200.0,Transferência,Eduardo Aragão,Sul,Pendente
29/08/2024,0101,852,Erick Costela,Smartwatch DEF,2004,Eletrônicos,800.0,4,3200.0,Dinheiro,Natália Correia,Centro-Oeste,Cancelada
07/08/2024,0102,597,Lucas Gabriel Fernandes,Smartphone XYZ,2001,Eletrônicos,1200.0,4,4800.0,Pix,Sr. Otávio Correia,Sudeste,Pendente
29/10/2024,0103,269,Henrique Cavalcanti,Impressora Laser,2008,Eletrônicos,2000.0,2,4000.0,Cartão,Alice Lima,Sudeste,Pendente
11/08/2024,0104,677,Isis Novaes,Smartphone XYZ,2001,Eletrônicos,1200.0,1,1200.0,Transferência,Srta. Ana Julia Farias,Nordeste,Cancelada
09/02/2024,0105,286,Sra. Nina Costa,Smartphone XYZ,2001,Eletrônicos,1200.0,3,3600.0,Transferência,Valentina Barbosa,Centro-Oeste,Concluída
14/05/2024,0106,565,Lara Moura,Fone Bluetooth,2006,Acessórios,250.0,3,750.0,Transferência,Luiz Fernando Mendes,Centro-Oeste,Cancelada
05/01/2024,0107,358,Luiza Cavalcanti,Laptop ABC,2002,Eletrônicos,3500.0,4,14000.0,Cartão,Isabelly Ramos,Sul,Concluída
01/10/2024,0108,458,Leandro da Luz,Smartwatch DEF,2004,Eletrônicos,800.0,1,800.0,Cartão,Dra. Milena Fogaça,Norte,Concluída
27/08/2024,0109,304,Stephany Rocha,Smartphone XYZ,2001,Eletrônicos,1200.0,5,6000.0,Dinheiro,Larissa Fogaça,Nordeste,Concluída
05/05/2024,0110,584,Bryan Freitas,Laptop ABC,2002,Eletrônicos,3500.0,5,17500.0,Dinheiro,Elisa Rezende,Sudeste,Pendente
09/08/2024,0111,362,Natália Nascimento,Fone Bluetooth,2006,Acessórios,250.0,2,500.0,Cartão,Sr. Luiz Felipe Martins,Nordeste,Cancelada
11/03/2024,0112,210,Clara Moraes,Smartphone XYZ,2001,Eletrônicos,1200.0,3,3600.0,Transferência,Joaquim Freitas,Sudeste,Pendente
19/08/2024,0113,303,Sra. Maria Eduarda Alves,Laptop ABC,2002,Eletrônicos,3500.0,5,17500.0,Dinheiro,Caroline Cardoso,Norte,Pendente
03/04/2024,0114,891,Sra. Luiza Duarte,Teclado RGB,2005,Acessórios,300.0,5,1500.0,Cartão,Sra. Melissa Rodrigues,Sul,Concluída
23/06/2024,0115,455,Bryan Gonçalves,Monitor HD,2007,Eletrônicos,1000.0,3,3000.0,Cartão,João Farias,Sul,Pendente
28/04/2024,0116,449,Maria Luiza Moura,Smartphone XYZ,2001,Eletrônicos,1200.0,4,4800.0,Transferência,Maria Clara Souza,Norte,Cancelada
13/05/2024,0117,470,Sofia Vieira,Impressora Laser,2008,Eletrônicos,2000.0,2,4000.0,Transferência,Dr. Samuel Ramos,Nordeste,Pendente
